CEchoService::initialize(int aArgc, const char *aArgv[])
3/4/2013 4:25:02 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:03 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:03 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:03 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:03 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:03 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:04 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:04 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:04 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:04 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:04 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:05 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:05 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:05 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:05 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:05 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:06 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:06 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:06 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:06 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:06 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:07 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:07 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:07 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:07 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:08 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:08 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:08 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:08 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:08 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:09 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:09 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:09 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:09 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:10 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:10 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:10 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:10 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:11 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:11 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:11 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
3/4/2013 4:25:11 PM: INFO    [3] CHtmlTableSnapshots::GetWebBrowser Logged on: 1
